code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
C24105680,FULL PRICE,,SHREYA DRESS,G21,27,9,2024-12-17 00:00:00+00,3RD WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,,
C24156804,FULL PRICE,,FLAMINGO MAXI DRESS,F34,19,6,2024-12-17 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,,
C24272833,FULL PRICE,,LEMON BREEZE STRAP DRESS 13 DEC AIR,J22,29,19,2024-12-17 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24270835,FULL PRICE,,LEMON BREEZE PANTS 13 DEC AIR,H12,28,27,2024-12-17 00:00:00+00,3RD WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-12-20 00:00:00+00,,
C24248834,FULL PRICE,,LEMON BREEZE SHIRT 13 DEC AIR,J22,27,26,2024-12-17 00:00:00+00,3RD WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C23347644,OUT OF STOCK,,ALISHA DRESS,R21 BESIDE,16,,2024-12-16 00:00:00+00,3RD WEEK,7,"{""S"":2,""M"":2,""L"":2,""XL"":1}",BOHO,DRESS,,,,2024-01-20 00:00:00+00,2024-12-20 00:00:00+00,NEW RELEASE
C24773800,FULL PRICE,,GRAVES BABY DRESS,O31,36,14.5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-27 00:00:00+00,,
C24729470,FULL PRICE,,LILIA DRESS,L11 FRONT,28,14.5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-26 00:00:00+00,,
C24154660,FULL PRICE,,LAZULI DRESS,K33,32,15,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24411746,FULL PRICE,,ALESHA DRESS,K12,29,23,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24411808,FULL PRICE,,SWEET CHERRY BABY DRESS,I32,31,15,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,,
C24773747(LABEL-C24733747),FULL PRICE,,PEACHY PINK DRESS,I24,32,22.5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24411543,OUT OF STOCK,,LAZULI DRESS (REPEAT),F24,26,,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-20 00:00:00+00,NEW RELEASE
C24137686,FULL PRICE,,UNICORN DRESS,F11,30,11,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24202687,FULL PRICE,,UNICORN MIDI DRESS,G11,27,20.5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24223809,FULL PRICE,,SWEET CHERRY SHIRT DRESS,F33,31,5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-12-11 00:00:00+00,,
P24188792,FULL PRICE,,RUBY JOY DRESS,A32,18,6,2024-12-16 00:00:00+00,3RD WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-06 00:00:00+00,,
C24194775,FULL PRICE,,VELMA DRESS,F14,24,5,2024-12-16 00:00:00+00,3RD WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-12-11 00:00:00+00,,
P24198795,FULL PRICE,,LEMONCILLA SHORT DRESS,A12,28,10,2024-12-16 00:00:00+00,3RD WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-06 00:00:00+00,,
C24133504,FULL PRICE,,NDIGO DRESS,O34,25,3,2024-12-09 00:00:00+00,4TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-07 00:00:00+00,,
C24119628,FULL PRICE,,BOLTON DRESS,K23,27,5,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24105626,FULL PRICE,,ARROYO DRESS,J24,29,7,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24105652,FULL PRICE,,MENDEZ DRESS,I23,29,6.5,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
